PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
2809757,16022998,3,2016-02-07T05:20:00,"800 Block Brushton AV Pittsburgh, PA 15221",Y,Homewood South,5,ROBBERY/CARJACK/GUN,903 Criminal Conspiracy. / 3701 Robbery. / 3702 Robbery of Motor Vehicle.,1304,9,2,-79.88837848,40.45461029
2815031,16038201,3,2016-03-02T03:52:00,"1300 Block Oakdene ST Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle.,1202,9,2,-79.89076938,40.46190084
2815903,16040238,3,2016-03-05T10:42:00,"7200 Block Hermitage ST Pittsburgh, PA 15208",Y,Homewood North,5,ROBBERY/CARJACK/STRONGARM,2701 Simple Assault. / 2706 Terroristic Threats. / 2902 Unlawful Restraint. / 3702 Robbery of Motor Vehicle. / 3921 Theft by Unlawful Taking or Disposition. / 1543 Driving While Operating Privilege is Suspended or Revoked.,1302,9,2,-79.89514952,40.45998957
2817892,16047897,3,2016-03-17T05:16:00,"2900 Block Middletown RD Pittsburgh, PA 15205",Y,Windgap,6,ROBBERY/CARJACK/OTHER,2705 Recklessy Endangering Another Person. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,2807,2,5,-80.06284317,40.44878767
2822073,16052395,3,2016-03-23T23:43:00,"7100 Block Campania AV Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1201,9,2,-79.89212141,40.47252547
2823949,16062247,3,2016-04-07T04:52:00,"5800 Block Murray AV Pittsburgh, PA ",Y,Squirrel Hill South,4,ROBBERY/CARJACK/GUN,2702 Aggravated Assault. / 3701 Robbery. / 3702 Robbery of Motor Vehicle.,1414,5,3,-79.92827516,40.41971935
2827062,16078889,3,2016-04-30T20:33:00,"3400 Block Allendale ST Pittsburgh, PA 15204",N,Sheraden,6,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle. / 3745 Accidents Involving Damage to Unattended Veh.or Prop.,2022,2,5,-80.06340429,40.45785394
2828958,16080207,3,2016-05-02T18:29:00,"3700 Block Allendale CIR Pittsburgh, PA 15204",Y,Sheraden,6,ROBBERY/CARJACK/GUN,903 Criminal Conspiracy. / 2705 Recklessy Endangering Another Person. / 3701 Robbery. / 3702 Robbery of Motor Vehicle. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,2022,2,5,-80.06332145,40.4601339
2830248,16087714,3,2016-05-13T14:20:00,"1900 Block Spring Garden AV Pittsburgh, PA 15212",Y,Spring Garden,1,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,2412,1,1,-79.98562477,40.46877916
2830987,16090731,3,2016-05-18T00:20:00,"Brushton AV & Bennett ST Pittsburgh, PA 15221",N,Homewood South,5,ROBBERY/CARJACK/GUN,2701 Simple Assault. / 3701 Robbery. / 3702 Robbery of Motor Vehicle.,1304,9,2,-79.88845816,40.45459781
2832626,16092891,3,2016-05-21T01:16:00,"S 13th ST & Sarah ST Pittsburgh, PA 15203",Y,South Side Flats,3,ROBBERY/CARJACK/OTHER,"3702 Robbery of Motor Vehicle. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",1702,3,4,-79.98529012,40.42765878
2839076,16112275,3,2016-06-17T18:10:00,"400 Block Edgemont ST Pittsburgh, PA 15211",Y,Mount Washington,3,ROBBERY/CARJACK/STRONGARM,"3702 Robbery of Motor Vehicle. / 5104 Resisting Arrest or Other Law Enforcement. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3733 Fleeing or Attempting to Elude Police Officer",1807,3,4,-80.00059026,40.42224863
2840055,16116048,3,2016-06-22T23:36:00,"3000 Block Merwyn AV Pittsburgh, PA 15204",N,Sheraden,6,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle.,2018,2,5,-80.05185635,40.45726758
2842525,16123848,3,2016-07-03T23:36:00,"2100 Block Eccles ST Pittsburgh, PA 15210",N,South Side Slopes,3,ROBBERY/CARJACK/GUN,2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle. / 3921 Theft by Unlawful Taking or Disposition. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,1608,3,4,-79.97713293,40.41841059
2846675,16126889,3,2016-07-08T16:10:00,"60 Block Bracey CT Pittsburgh, PA 15206",N,East Hills,5,ROBBERY/CARJACK/STRONGARM,3701 Robbery. / 3702 Robbery of Motor Vehicle.,1306,3,4,-80.00605989,40.41868761
2845620,16127246,3,2016-07-09T00:15:00,"2000 Block E Carson ST Pittsburgh, PA 15203",Y,South Side Flats,3,ROBBERY/CARJACK/STRONGARM,2702 Aggravated Assault. / 3701 Robbery. / 3702 Robbery of Motor Vehicle.,1702,3,4,-79.97750748,40.42831022
2848856,16127896,3,2016-07-10T02:30:00,"1100 Block Sheffield ST Pittsburgh, PA 15233",N,Manchester,1,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle.,2107,6,1,-80.02126185,40.45420401
2843506,16128974,3,2016-07-11T22:05:00,"1900 Block Arlington AV Pittsburgh, PA 15210",N,Arlington,3,ROBBERY/CARJACK/STRONGARM,2702 Aggravated Assault. / 3702 Robbery of Motor Vehicle.,1603,3,4,-79.9805088,40.41750412
2845036,16132776,3,2016-07-17T01:00:00,"7200 Block Hamilton AV Pittsburgh, PA 15208",N,Homewood South,5,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle.,1303,9,2,-79.89753117,40.45457233
2846015,16134229,3,2016-07-19T20:11:00,"Dove WY & Knox AV Pittsburgh, PA 15210",Y,Knoxville,3,ROBBERY/CARJACK/STRONGARM,2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle. / 3925 Receiving Stolen Property. / 5104 Resisting Arrest or Other Law Enforcement. / 3334 Turning Movements and Required Signals. / 3733 Fleeing or Attempting to Elude Police Officer / 3736 Reckless Driving / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,3001,3,4,-79.99053365,40.4147346
2846624,16137293,3,2016-07-24T02:00:00,"1500 Block E Carson ST Pittsburgh, PA 15203",N,South Side Flats,3,ROBBERY/CARJACK/STRONGARM,3701 Robbery. / 3702 Robbery of Motor Vehicle.,1702,3,4,-79.98330671,40.42868483
2849241,16144176,3,2016-08-03T16:21:00,"Berlin WY & Oasis WY Pittsburgh, PA 15201",N,Upper Lawrenceville,2,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1011,7,2,-79.95588427,40.47896926
2851539,16144782,3,2016-08-04T13:20:00,"2100 Block Park Hill DR Pittsburgh, PA 15221",N,East Hills,5,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle.,1306,9,2,-79.8740214,40.45295266
2851624,16150152,3,2016-08-11T22:24:00,"3000 Block Arlington AV Pittsburgh, PA 15210",N,Arlington Heights,3,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1604,3,4,-79.9656533,40.41728634
2851147,16150985,3,2016-08-13T02:39:00,"Crawford ST & Wylie AV Pittsburgh, PA 15219",N,Golden Triangle/Civic Arena,2,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle.,201,6,6,-79.98721532,40.44269983
2852047,16154662,3,2016-08-18T13:30:00,"2nd AV & Glen Caladh ST Pittsburgh, PA 15207",Y,Hazelwood,4,ROBBERY/CARJACK/GUN,2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle.,1515,5,3,-79.94384519,40.40915052
2852324,16155062,3,2016-08-18T23:15:00,"Morgan ST & Webster AV Pittsburgh, PA 15219",Y,Middle Hill,2,ROBBERY/CARJACK/GUN,3701 Robbery.,501,6,3,-79.96892064,40.45114941
2852507,16155169,3,2016-08-19T03:12:00,"6400 Block Frankstown AV Pittsburgh, PA 15206",Y,Larimer,5,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle.,1208,9,2,-79.915653,40.46077054
2852678,16155553,3,2016-08-19T16:58:00,"Tipton ST & Teton WY Pittsburgh, PA 15207",Y,Hazelwood,4,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1515,5,3,-79.94298897,40.40794967
2853442,16158630,3,2016-08-24T01:40:00,"600 Block S 10th ST Pittsburgh, PA 15203",Y,South Side Flats,3,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,1702,3,4,-79.98852842,40.4265902
2853803,16161707,3,2016-08-28T05:15:00,"300 Block Mt Pleasant RD Pittsburgh, PA ",Y,Northview Heights,1,ROBBERY/CARJACK/GUN,3701 Robbery.,2609,1,1,-80.00304348,40.48235135
2855179,16164279,3,2016-08-31T21:18:00,"2500 Block N Charles ST Pittsburgh, PA 15214",Y,Perry South,1,ROBBERY/CARJACK/GUN,"903 Criminal Conspiracy. / 3702 Robbery of Motor Vehicle. / 4910 Tampering with or Fabricating Physical Evidence. / 5104 Resisting Arrest or Other Law Enforcement. / 6110.1 Possesion of Firearm by Minor / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 6105(c)(9) Persons Not To Possess Use Manuf, Control Firearm",2614,6,1,-80.01885858,40.46692217
2856698,16164984,3,2016-09-01T21:11:00,"500 Block Bigelow ST Pittsburgh, PA 15207",Y,Hazelwood,4,ROBBERY/CARJACK/STRONGARM,2701 Simple Assault. / 3702 Robbery of Motor Vehicle. / 1543 Driving While Operating Privilege is Suspended or Revoked.,1501,5,3,-79.93967131,40.41876071
2856743,16165053,3,2016-09-01T23:05:00,"6800 Block Simonton ST Pittsburgh, PA 15208",N,Point Breeze North,4,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle.,1405,9,2,-79.90767086,40.45535912
2859083,16173208,3,2016-07-18T23:30:00,"500 Block N Highland AV Pittsburgh, PA 15206",N,East Liberty,5,ROBBERY/CARJACK/OTHER,3702 Robbery of Motor Vehicle.,1113,8,2,-79.92496117,40.45301084
2864050,16190139,3,2016-10-08T00:40:00,"7200 Block Felicia WY Pittsburgh, PA 15208",N,Homewood South,5,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1303,9,2,-79.89647981,40.45688486
2865676,16193134,3,2016-10-12T17:25:00,"800 Block Middle ST Pittsburgh, PA 15212",N,East Allegheny,1,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle. / 3743 Accidents Involving Damage to Attended Veh. or Property,2304,1,1,-79.99932356,40.45459396
2866920,16198403,3,2016-10-20T18:27:00,"600 Block Smithfield ST Pittsburgh, PA 15219",N,Central Business District,2,ROBBERY/CARJACK/STRONGARM,2701 Simple Assault. / 3702 Robbery of Motor Vehicle.,201,6,6,-79.99740551,40.44152525
2867090,16196319,3,2016-10-17T16:07:00,"1900 Block Spring Garden AV Pittsburgh, PA 15212",N,Spring Garden,1,ROBBERY/CARJACK/GUN,2702 Aggravated Assault. / 3702 Robbery of Motor Vehicle.,2412,1,1,-79.98562477,40.46877916
2868911,16204778,3,2016-10-30T11:20:00,"300 Block Cedar AV Pittsburgh, PA 15212",Y,East Allegheny,1,ROBBERY/CARJACK/GUN,"3701 Robbery. / 3921 Theft by Unlawful Taking or Disposition. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",2304,1,1,-80.00084389,40.45089272
2869020,16204574,3,2016-10-30T04:20:00,"900 Block Woodlow ST Pittsburgh, PA 15205",N,Strip District,6,ROBBERY/CARJACK/GUN,2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,203,2,5,-80.05220414,40.44589982
2871150,16209578,3,2016-11-06T14:55:00,"4800 Block Rosetta ST Pittsburgh, PA 15224",N,Garfield,5,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1017,9,2,-79.94544835,40.46838498
2871630,16207779,3,2016-11-03T21:55:00,"2400 Block Bracey DR Pittsburgh, PA 15221",N,East Hills,5,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle.,1306,9,2,-79.86793553,40.45553846
2871749,16210999,3,2016-11-08T20:31:00,"Hawthorne ST & Farmington ST Pittsburgh, PA 15201",Y,Stanton Heights,5,ROBBERY/CARJACK/GUN,903 Criminal Conspiracy. / 907 Possessing Instruments of Crime. / 3702 Robbery of Motor Vehicle. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance,1018,7,2,-79.93455783,40.4848953
2871788,16211038,3,2016-11-08T21:55:00,"Meyran AV & Forbes AV Pittsburgh, PA 15213",N,Central Oakland,4,ROBBERY/CARJACK/GUN,2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle.,405,3,3,-79.95831694,40.44057902
2077810,5000973,3,2005-01-02T17:15:00,"600 Block SHERWOOD AV PITTSBURGH, PA ",Y,Allentown,3,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle.,2004,2,5,-80.05372758,40.45539486
2082293,5009706,3,2005-01-19T02:00:00,"800 Block HILLSBORO AV PITTSBURGH, PA ",N,Summer Hill,3,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle.,2004,2,5,-80.05568656,40.45310201
2087486,5033410,3,2005-03-04T23:25:00,"500 Block S BRADDOCK AV PITTSBURGH, PA ",N,Point Breeze,4,ROBBERY/CARJACK/GUN,901 Criminal Attempt / 3702 Robbery of Motor Vehicle.,1406,9,3,-79.8974287,40.4421885
2086496,5011581,3,2005-01-22T22:00:00,"5100 Block BUTLER ST PITTSBURGH, PA ",N,Homewood North,2,ROBBERY/CARJACK/STRONGARM,2901 Kidnapping. / 3702 Robbery of Motor Vehicle.,1001,7,2,-79.95543548,40.47836399
2092788,5056156,3,2005-04-08T01:25:00,Zone 1,Y,,1,ROBBERY/CARJACK/GUN,2902 Unlawful Restraint. / 3127 Indecent Exposure. / 3701 Robbery. / 3702 Robbery of Motor Vehicle. / 3921 Theft by Unlawful Taking or Disposition.,,,,,
2113933,5142403,3,2005-07-26T23:05:00,"300 Block MT PLEASANT RD PITTSBURGH, PA ",N,Northview Heights,1,ROBBERY/CARJACK/GUN,903 Criminal Conspiracy. / 2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle.,2609,1,1,-80.00304348,40.48235135
2096059,5068702,3,2005-04-25T10:10:00,"CHURCHLAND ST & WILSIE ST PITTSBURGH, PA ",N,Lincoln-Lemington-Belmar,5,ROBBERY/CARJACK/GUN,2701 Simple Assault. / 3702 Robbery of Motor Vehicle.,1201,,,0,0
2139005,5245058,3,2005-12-14T19:25:00,"2400 Block ALLEQUIPPA ST PITTSBURGH, PA ",Y,West Oakland,2,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle. / 3934 Theft from Vehicle,402,6,3,-79.96874989,40.44046415
2141092,5253090,3,2005-12-28T22:25:00,"4100 Block DELEVAN ST PITTSBURGH, PA ",N,Bloomfield,4,ROBBERY/CARJACK/STRONGARM,3921 Theft by Unlawful Taking or Disposition.,1507,5,3,-79.93255096,40.42238987
2138288,5241077,3,2005-12-08T04:17:00,"FIFTH AV & SMITHFIELD ST PITTSBURGH, PA ",N,Golden Triangle/Civic Arena,2,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle.,201,6,6,-79.99864594,40.44008562
2135876,5232562,3,2005-11-23T23:30:00,"1300 Block N MURTLAND AV PITTSBURGH, PA ",N,Homewood North,5,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle.,1301,9,2,-79.89957128,40.46199095
2124844,5190857,3,2005-09-26T16:45:00,"MARSHALL RD & BRIGHTON RD PITTSBURGH, PA ",N,Carrick,1,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle.,2603,6,1,-80.02501306,40.46688713
2129177,5214774,3,2005-10-29T17:50:00,"LOMBARD AV & COWELL ST PITTSBURGH, PA ",Y,North Oakland,2,ROBBERY/CARJACK/STRONGARM,903 Criminal Conspiracy. / 3701 Robbery. / 3702 Robbery of Motor Vehicle.,304,,,0,0
2122848,5183753,3,2005-09-17T02:10:00,"1500 Block CRUCIBLE ST PITTSBURGH, PA ",N,Golden Triangle/Civic Arena,3,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,2008,2,5,-80.05111326,40.44716839
2080339,5009126,3,2005-01-17T21:18:00,"200 Block S MATHILDA AV PITTSBURGH, PA 15224",Y,Bloomfield,5,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle. / 3733 Fleeing or Attempting to Elude Police Officer,809,7,2,-79.94679158,40.46502427
2875745,16223657,3,2016-11-29T19:21:00,"6800 Block Thomas BL Pittsburgh, PA 15208",Y,Point Breeze North,4,ROBBERY/CARJACK/GUN,"2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 2901 Kidnapping. / 2902 Unlawful Restraint. / 3701 Robbery. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License. / 13(a)(31) Marijuana: Possession Small Amount / 2701(a)(3) Simple Assault - Attempts by Physical Menace ",1405,9,2,-79.90902003,40.45372378
2877407,16224646,3,2016-12-01T11:00:00,"1300 Block Federal ST Pittsburgh, PA 15212",N,Central North Side,1,ROBBERY/CARJACK/STRONGARM,2701 Simple Assault. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,2206,1,1,-80.00687314,40.45673145
2878911,16228517,3,2016-12-07T14:46:00,"5400 Block Hays ST Pittsburgh, PA 15206",N,East Liberty,5,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1113,9,2,-79.93025969,40.47082061
2881826,16240409,3,2016-12-28T00:50:00,"1600 Block Arlington AV Pittsburgh, PA 15210",N,South Side Slopes,3,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1706,,,-79.98819735,40.41845183
2882249,16239316,3,2016-12-25T20:30:00,"Lincoln AV & Apple AV Pittsburgh, PA 15208",N,Lincoln-Lemington-Belmar,5,ROBBERY/CARJACK/STRONGARM,2702 Aggravated Assault. / 3701 Robbery. / 3702 Robbery of Motor Vehicle.,1203,9,2,-79.8989757,40.46466792
2884331,17002035,3,2017-01-04T10:30:00,"200 Block Flowers AV Pittsburgh, PA 15207",Y,Hazelwood,4,ROBBERY/CARJACK/STRONGARM,2701 Simple Assault. / 2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle. / 4304(a)(1) Endangering Welfare of Children.,1515,5,3,-79.94224835,40.41039025
2885684,17006647,3,2017-01-11T22:27:00,"400 Block Greentree RD Pittsburgh, PA 15220",Y,West End,6,ROBBERY/CARJACK/STRONGARM,9999 Miscellaneous Report (No Crime),2019,2,5,-80.03395994,40.43584367
2888364,17014799,3,2017-01-24T20:22:00,"Gertrude ST & E Elizabeth ST Pittsburgh, PA 15207",N,Hazelwood,4,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle.,1515,5,3,-79.94161511,40.40737235
2888748,17016194,3,2017-01-26T22:20:00,"N Craig ST & Truro PL Pittsburgh, PA 15213",N,North Oakland,4,ROBBERY/CARJACK/GUN,903 Criminal Conspiracy. / 3702 Robbery of Motor Vehicle.,507,6,3,-79.95234744,40.45240273
2888772,17016485,3,2017-01-27T11:30:00,"7200 Block Kelly ST Pittsburgh, PA 15208",N,Homewood South,5,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1303,9,2,-79.8970281,40.45547009
2896628,17020598,3,2017-02-02T21:14:00,"Rose ST & Grove ST Pittsburgh, PA 15219",Y,Middle Hill,2,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle. / 3925 Receiving Stolen Property. / 5121 Escape. / 3323 Stop Signs and Yield Signs. / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 9125 Possible  Stolen Car Recovered / 3733 Fleeing or Attempting to Elude Police Officer / 3736 Reckless Driving,501,6,3,-79.97888051,40.44304005
2901246,17050353,3,2017-03-21T00:42:00,"Miltenberger ST & Forbes AV Pittsburgh, PA 15219",N,Bluff,2,ROBBERY/CARJACK/GUN,3701 Robbery.,103,6,3,-79.98143135,40.43749976
2903225,17055552,3,2017-03-28T01:45:00,"4000 Block Perrysville AV Pittsburgh, PA 15214",N,Perry North,1,ROBBERY/CARJACK/GUN,2701 Simple Assault. / 3701 Robbery.,2602,1,1,-80.01986977,40.49117108
2904218,17058786,3,2017-04-01T23:10:00,"E Jefferson ST & Federal ST Pittsburgh, PA 15212",Y,Central North Side,1,ROBBERY/CARJACK/STRONGARM,"3702 Robbery of Motor Vehicle. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",2503,6,1,-80.0084492,40.45949391
2905156,17063211,3,2017-04-08T15:00:00,"7700 Block Monticello ST Pittsburgh, PA 15221",N,Homewood North,5,ROBBERY/CARJACK/GUN,3701 Robbery.,1301,9,2,-79.88762651,40.45804566
2907337,17066076,3,2017-04-12T21:14:00,"6700 Block Frankstown AV Pittsburgh, PA 15208",Y,Homewood West,5,ROBBERY/CARJACK/GUN,903 Criminal Conspiracy. / 2701 Simple Assault. / 2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle. / 6106 Firearms not to be Carried without a License. / 6110.1 Possesion of Firearm by Minor,1207,9,2,-79.90800266,40.45860843
2907766,17068611,3,2017-04-16T15:15:00,"Milwaukee ST & Bryn Mawr RD Pittsburgh, PA 15219",N,Upper Hill,2,ROBBERY/CARJACK/GUN,2702 Aggravated Assault. / 3702 Robbery of Motor Vehicle. / 3921 Theft by Unlawful Taking or Disposition.,506,6,3,-79.96289039,40.45326538
